age,hh_fthr_frm,hh_size96,hh_land,landrich,hh_cattle,hh_stock,hh_plow_any,fthr_ed0,fthr_ed,mthr_ed0,mthr_ed,no_fthr96,no_mthr96,orphan96,abd,vote05
30,1,2,15,0,0,0,0,0,4,1,0,0,0,0,0,1
19,1,5,29.63999939,0,0,0,0,0,7,0,4,0,0,0,1,1
22,1,8,10,0,0,0,0,0,4,1,0,1,0,0,0,1
20,1,8,20,0,0,0,0,0,4,1,0,0,0,0,0,0
25,1,8,20,0,0,0,0,0,10,0,4,0,0,0,0,1
25,1,8,6,0,0,0,0,0,10,1,0,0,0,0,1,0
29,1,5,49.40000153,0,0,0,0,0,7,0,4,1,0,0,1,1
19,1,7,7.409999847,0,0,0,0,0,10,0,7,1,0,0,0,1
23,1,7,99,1,0,0,0,0,4,0,4,1,1,1,1,1
25,1,9,10,0,0,0,0,1,0,0,4,0,0,0,0,0
14,1,3,74.09999847,1,4,5,1,0,7,1,0,0,1,0,1,NA
29,1,16,100,1,21,15,1,0,12,0,10,0,0,0,1,1
24,0,17,10,0,11,5,1,0,7,0,4,0,0,0,0,0
27,1,5,35.59070587,0,0,15,1,0,12,0,7,1,0,0,1,1
23,1,5,35.59070587,0,0,15,1,1,0,1,0,1,0,0,0,1
25,1,2,6,0,0,0,0,0,4,1,0,0,0,0,1,0
17,1,4,15,0,0,0,0,1,0,1,0,0,0,0,0,0
15,1,6,10,0,50,20,1,0,4,0,4,0,0,0,0,NA
18,1,5,3,0,0,0,0,0,12,0,7,0,0,0,0,NA
26,1,14,6,0,0,0,0,0,10,0,7,1,0,0,1,0
16,1,6,29.63999939,0,0,0,0,0,7,0,15,1,0,0,0,NA
16,1,8,30,0,0,0,0,0,10,1,0,0,0,0,0,NA
24,1,7,30,0,5,30,1,0,7,0,4,0,0,0,1,1
30,1,8,100,1,85,160,1,0,7,0,4,1,0,0,1,0
16,1,5,16,0,0,0,0,0,7,0,7,0,1,0,0,NA
25,1,4,3,0,0,0,0,0,4,0,4,0,1,0,0,0
20,1,4,3,0,0,0,0,0,4,1,0,0,0,0,0,1
22,1,10,18,0,0,6,1,0,7,0,4,0,0,0,1,1
20,1,10,18,0,0,6,1,0,7,0,4,0,0,0,1,0
18,1,15,12,0,5,5,1,0,7,1,0,0,0,0,0,0
18,1,7,100,1,0,0,0,0,4,1,0,1,0,0,1,0
16,1,7,100,1,0,0,0,0,4,1,0,1,0,0,1,NA
25,1,2,5,0,0,5,0,0,4,0,4,0,0,0,0,0
20,1,14,10,0,22,24,1,0,10,1,0,0,0,0,0,1
29,1,7,61.75,1,20,15,1,0,4,1,0,1,1,1,1,0
25,1,8,7.409999847,0,0,0,0,0,4,0,4,0,1,0,0,1
17,1,8,7,0,78,2,1,0,4,1,0,0,0,0,1,NA
20,1,8,15,0,0,0,0,0,10,1,0,0,0,0,0,0
